"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",170260.160821194,170260.160821194,170260.160821194,170260.160821194,170260.160821194,170260.160821194,170260.160821194,170260.160821194
"2",170258.754358343,170258.754358343,170258.754358343,170258.754358343,170258.754358343,170258.754358343,170258.754358343,170258.754358343
"3",139029.746943098,139029.746943098,139029.746943098,139029.746943098,139029.746943098,139029.746943098,139029.746943098,139029.746943098
"4",133734.109921702,133734.109921702,133734.109921702,133734.109921702,133734.109921702,133734.109921702,133734.109921702,133734.109921702
"5",133379.361539533,133379.361539533,133379.361539533,133379.361539533,133379.361539533,133379.361539533,133379.361539533,133379.361539533
"6",133357.931432874,133357.931432874,133357.931432874,133357.931432874,133357.931432874,133357.931432874,133357.931432874,133357.931432874
"7",133354.682729354,133354.682729354,133354.682729354,133354.682729354,133354.682729354,133354.682729354,133354.682729354,133354.682729354
"8",133309.877782417,133309.877782417,133309.877782417,133309.877782417,133309.877782417,133309.877782417,133309.877782417,133309.877782417
"9",133051.094058704,133051.094058704,133051.094058704,133051.094058704,133051.094058704,133051.094058704,133051.094058704,133051.094058704
"10",132423.303675,132423.303675,132423.303675,132423.303675,132423.303675,132423.303675,132423.303675,132423.303675
"11",131440.208797717,131440.208797717,131440.208797717,131440.208797717,131440.208797717,131440.208797717,131440.208797717,131440.208797717
"12",130151.443410757,130151.443410757,130151.443410757,130151.443410757,130151.443410757,130151.443410757,130151.443410757,130151.443410757
"13",128587.743029756,128587.743029756,128587.743029756,128587.743029756,128587.743029756,128587.743029756,128587.743029756,128587.743029756
"14",126837.261575033,126837.261575033,126837.261575033,126837.261575033,126837.261575033,126837.261575033,126837.261575033,126837.261575033
"15",125173.223661978,125173.223661978,125173.223661978,125173.223661978,125173.223661978,125173.223661978,125173.223661978,125173.223661978
"16",123966.43359616,123966.43359616,123966.43359616,123966.43359616,123966.43359616,123966.43359616,123966.43359616,123966.43359616
"17",123324.236810568,123324.236810568,123324.236810568,123324.236810568,123324.236810568,123324.236810568,123324.236810568,123324.236810568
"18",123032.230083024,123032.230083024,123032.230083024,123032.230083024,123032.230083024,123032.230083024,123032.230083024,123032.230083024
"19",122842.748797461,122842.748797461,122842.748797461,122842.748797461,122842.748797461,122842.748797461,122842.748797461,122842.748797461
"20",122625.219694253,122625.219694253,122625.219694253,122625.219694253,122625.219694253,122625.219694253,122625.219694253,122625.219694253
"21",122335.531052365,122335.531052365,122335.531052365,122335.531052365,122335.531052365,122335.531052365,122335.531052365,122335.531052365
"22",121970.577314306,121970.577314306,121970.577314306,121970.577314306,121970.577314306,121970.577314306,121970.577314306,121970.577314306
"23",121549.911930153,121549.911930153,121549.911930153,121549.911930153,121549.911930153,121549.911930153,121549.911930153,121549.911930153
"24",121105.846851017,121105.846851017,121105.846851017,121105.846851017,121105.846851017,121105.846851017,121105.846851017,121105.846851017
"25",120674.298849436,120674.298849436,120674.298849436,120674.298849436,120674.298849436,120674.298849436,120674.298849436,120674.298849436
"26",120287.800351213,120287.800351213,120287.800351213,120287.800351213,120287.800351213,120287.800351213,120287.800351213,120287.800351213
"27",119969.46360458,119969.46360458,119969.46360458,119969.46360458,119969.46360458,119969.46360458,119969.46360458,119969.46360458
"28",119726.647964749,119726.647964749,119726.647964749,119726.647964749,119726.647964749,119726.647964749,119726.647964749,119726.647964749
"29",119548.233812562,119548.233812562,119548.233812562,119548.233812562,119548.233812562,119548.233812562,119548.233812562,119548.233812562
"30",119410.294487346,119410.294487346,119410.294487346,119410.294487346,119410.294487346,119410.294487346,119410.294487346,119410.294487346
"31",119287.69143451,119287.69143451,119287.69143451,119287.69143451,119287.69143451,119287.69143451,119287.69143451,119287.69143451
"32",119163.469263595,119163.469263595,119163.469263595,119163.469263595,119163.469263595,119163.469263595,119163.469263595,119163.469263595
"33",119031.396671145,119031.396671145,119031.396671145,119031.396671145,119031.396671145,119031.396671145,119031.396671145,119031.396671145
"34",118893.421196999,118893.421196999,118893.421196999,118893.421196999,118893.421196999,118893.421196999,118893.421196999,118893.421196999
"35",118755.721251574,118755.721251574,118755.721251574,118755.721251574,118755.721251574,118755.721251574,118755.721251574,118755.721251574
"36",118625.374909037,118625.374909037,118625.374909037,118625.374909037,118625.374909037,118625.374909037,118625.374909037,118625.374909037
"37",118508.096626636,118508.096626636,118508.096626636,118508.096626636,118508.096626636,118508.096626636,118508.096626636,118508.096626636
"38",118407.000663401,118407.000663401,118407.000663401,118407.000663401,118407.000663401,118407.000663401,118407.000663401,118407.000663401
"39",118322.280826564,118322.280826564,118322.280826564,118322.280826564,118322.280826564,118322.280826564,118322.280826564,118322.280826564
"40",118251.654869758,118251.654869758,118251.654869758,118251.654869758,118251.654869758,118251.654869758,118251.654869758,118251.654869758
"41",118191.363270285,118191.363270285,118191.363270285,118191.363270285,118191.363270285,118191.363270285,118191.363270285,118191.363270285
"42",118137.413945958,118137.413945958,118137.413945958,118137.413945958,118137.413945958,118137.413945958,118137.413945958,118137.413945958
"43",118086.672599944,118086.672599944,118086.672599944,118086.672599944,118086.672599944,118086.672599944,118086.672599944,118086.672599944
"44",118037.45196783,118037.45196783,118037.45196783,118037.45196783,118037.45196783,118037.45196783,118037.45196783,118037.45196783
"45",117989.49286021,117989.49286021,117989.49286021,117989.49286021,117989.49286021,117989.49286021,117989.49286021,117989.49286021
"46",117943.503026399,117943.503026399,117943.503026399,117943.503026399,117943.503026399,117943.503026399,117943.503026399,117943.503026399
"47",117900.546880062,117900.546880062,117900.546880062,117900.546880062,117900.546880062,117900.546880062,117900.546880062,117900.546880062
"48",117861.531228214,117861.531228214,117861.531228214,117861.531228214,117861.531228214,117861.531228214,117861.531228214,117861.531228214
"49",117826.906348128,117826.906348128,117826.906348128,117826.906348128,117826.906348128,117826.906348128,117826.906348128,117826.906348128
"50",117796.592112103,117796.592112103,117796.592112103,117796.592112103,117796.592112103,117796.592112103,117796.592112103,117796.592112103
"51",117770.076390927,117770.076390927,117770.076390927,117770.076390927,117770.076390927,117770.076390927,117770.076390927,117770.076390927
"52",117746.608975002,117746.608975002,117746.608975002,117746.608975002,117746.608975002,117746.608975002,117746.608975002,117746.608975002
"53",117725.414315879,117725.414315879,117725.414315879,117725.414315879,117725.414315879,117725.414315879,117725.414315879,117725.414315879
