"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103"
"1",0.999999999762876,-3.52776460493841e-05,-0.00307516672425009,-0.0294776636142679,-0.0961272852604341,-0.165088778861809,-0.185240281782415,-0.153475062180885,-0.101321898297908,-0.0560697253154778,-0.0269453781206871,-0.0115381529469545,-0.00448798121923605,-0.00160938509068992,-0.000538286850217873,-0.000169492804416864,-5.06235880820921e-05,-1.44317689612225e-05,-3.94731127280789e-06,-1.04038210588316e-06,-2.65218709047496e-07,-6.56017031197558e-08,-1.57876442378481e-08,-3.70550038491473e-09,-8.49982876721579e-10,-1.90899549524374e-10,-4.20471525723656e-11,-9.0956209584775e-12,-1.93487131718313e-12,-4.0522640742556e-13,-8.3641352544282e-14,-1.70306025151366e-14,-3.42368954262794e-15,-6.80064732847975e-16,-1.33568514043504e-16,-2.59558989220568e-17,-4.99347654186979e-18,-9.51570360427456e-19,-1.79707874515358e-19,-3.3649781754836e-20,-6.24988349075939e-21,-1.15188233177228e-21,-2.10741734781363e-22,-3.82866872438615e-23,-6.90936718024449e-24,-1.23894264725257e-24,-2.20804214225303e-25,-3.91218880686717e-26,-6.89278205698885e-27,-1.20790029829924e-27,-2.10582835421154e-28,-3.65307192242698e-29,-6.30695605293238e-30,-1.08389190808248e-30,-1.85451624089955e-31,-3.15953873802408e-32,-5.36082017281985e-33,-9.05974468312855e-34,-1.52523673247397e-34,-2.55830030034423e-35,-4.27575023285882e-36,-7.121485775602e-37,-1.18215614170345e-37,-1.95601052117787e-38,-3.22629177693264e-39,-5.30535165341708e-40,-8.69846959276169e-41,-1.42209277669353e-41,-2.31849410646244e-42,-3.76974552882551e-43,-6.11335385171302e-44,-9.88873110783405e-45,-1.59560677673053e-45,-2.56841336218064e-46,-4.12463945599551e-47,-6.60870297398268e-48,-1.05652972409864e-48,-1.68541755013086e-49,-2.6829816654042e-50,-4.26221623952396e-51,-6.7574547626631e-52,-1.06925722261939e-52,-1.68870315509903e-53,-2.66205157048495e-54,-4.18881210550175e-55,-6.57953376648994e-56,-1.03168495333443e-56,-1.61496867725247e-57,-2.5238459626135e-58,-3.93785266494776e-59,-6.13436424771016e-60,-9.54131480874987e-61,-1.48180158682234e-61,-2.29788968989992e-62,-3.55827298578652e-63,-5.50216436099628e-64,-8.49620326379545e-65,-1.31016411280784e-65,-2.0176602015296e-66,-3.10315569071653e-67,-4.76654446767e-68,-7.3123888461027e-69,-2.86276876249085e-69
"2",0,0.99999999966448,-4.30392192136673e-05,-0.00350186031731791,-0.0320778883906207,-0.101118877890774,-0.169022187306905,-0.185426646376747,-0.150691497543745,-0.097818190972819,-0.0533245084108119,-0.0252823695065127,-0.0106939658402092,-0.00411308162660699,-0.00145970910292645,-0.000483540196581791,-0.000150890511338107,-4.4688920568578e-05,-1.26391662474823e-05,-3.4311824581137e-06,-8.97946295773043e-07,-2.27368873891731e-07,-5.58792979779907e-08,-1.33656178840217e-08,-3.11867646641926e-09,-7.11363530753315e-10,-1.58906620338383e-10,-3.48192598618694e-11,-7.49453447053903e-12,-1.58661405480981e-12,-3.30747098420461e-13,-6.79619482186424e-14,-1.37779398163316e-14,-2.75814587891177e-15,-5.45628693862195e-16,-1.06740043122951e-16,-2.06625986485856e-17,-3.96026259299003e-18,-7.51930986686286e-19,-1.41501803932735e-19,-2.64042880323011e-20,-4.88763811120273e-21,-8.97854341253019e-22,-1.6373932849858e-22,-2.96542798217135e-23,-5.33514192149487e-24,-9.53798466402728e-25,-1.6948794002209e-25,-2.99436255634904e-26,-5.26087806790464e-27,-9.19387951479542e-28,-1.59852208058632e-28,-2.76569845633445e-29,-4.76254883627132e-30,-8.16394196493634e-31,-1.39334720398914e-31,-2.36802836960433e-32,-4.00818714262738e-33,-6.75778864875109e-34,-1.13505138708345e-34,-1.89948792544969e-35,-3.16752933717071e-36,-5.26402864309146e-37,-8.71921297228715e-38,-1.43960532111188e-38,-2.36951927938759e-39,-3.8883846232861e-40,-6.362239124265e-41,-1.03805512845884e-41,-1.68902740693006e-42,-2.74090155859573e-43,-4.43632927613938e-44,-7.16241422515015e-45,-1.1535351416572e-45,-1.85339129560853e-46,-2.97095640859143e-47,-4.7516579405648e-48,-7.58297433201308e-49,-1.20754777455205e-49,-1.91894804369001e-50,-3.04326101421713e-51,-4.8167527540299e-52,-7.60904106241667e-53,-1.19973796223788e-53,-1.88818051773048e-54,-2.96633567237901e-55,-4.65195075950238e-56,-7.2829223047739e-57,-1.1382800059223e-57,-1.77615935372585e-58,-2.76706974372686e-59,-4.3040675571606e-60,-6.68457463675999e-61,-1.03661774485039e-61,-1.60519441857403e-62,-2.48207164089294e-63,-3.83258464741757e-64,-5.90979835330483e-65,-9.10058549391365e-66,-1.39956699665073e-66,-2.14959825772938e-67,-3.29739803759212e-68,-1.29084991268785e-68
"3",0,0,0.999999999525915,-5.24351429849186e-05,-0.00398219257417132,-0.0348587470084391,-0.106221172922986,-0.172807730668425,-0.185354076319141,-0.147751863358199,-0.0943038064406762,-0.0506429014413627,-0.0236888813815204,-0.00989770670577633,-0.00376423659925198,-0.00132210499479713,-0.000433755187550075,-0.000134142341239132,-3.93949081879167e-05,-1.1053773771738e-05,-2.97837609799861e-06,-7.73929033960419e-07,-1.94648540574756e-07,-4.75313396892606e-08,-1.12993649820417e-08,-2.62112100309618e-09,-5.94519773143042e-10,-1.32090737683408e-10,-2.87935867137852e-11,-6.16666357798861e-12,-1.29922328224763e-12,-2.69579977951941e-13,-5.51447128884401e-14,-1.11309399771912e-14,-2.21887775078495e-15,-4.37156998868336e-16,-8.51812365643348e-17,-1.64258212634281e-17,-3.13644907305876e-18,-5.9334644591471e-19,-1.11262837735921e-19,-2.0689974642822e-20,-3.81697618852421e-21,-6.98870878122883e-22,-1.27042416577181e-22,-2.29361362035076e-23,-4.11383593634571e-24,-7.33255491143384e-25,-1.29916266517512e-25,-2.28866510283267e-26,-4.00973076444242e-27,-6.98811131880294e-28,-1.21173484621541e-28,-2.09095515623036e-29,-3.59130562938631e-30,-6.14054799967208e-31,-1.04539723445461e-31,-1.77232516741138e-32,-2.99266447961575e-33,-5.0336908368031e-34,-8.43503868275549e-35,-1.40836375444925e-35,-2.34326955955261e-36,-3.88560959841608e-37,-6.4220401370047e-38,-1.05805681042378e-38,-1.73784139999324e-39,-2.8458863041288e-40,-4.64697582707683e-41,-7.56669438320073e-42,-1.228741945713e-42,-1.9900689691148e-43,-3.21485432930961e-44,-5.18049891679555e-45,-8.32777674578129e-46,-1.3355575426696e-46,-2.13697703185651e-47,-3.41167295408602e-48,-5.43488975462692e-49,-8.63961557787908e-50,-1.37057250280393e-50,-2.16988247628182e-51,-3.42861600948612e-52,-5.40718153110888e-53,-8.51163073895613e-54,-1.33740778517466e-54,-2.0976981540374e-55,-3.28449333650813e-56,-5.13401985753438e-57,-8.01175017307125e-58,-1.24822908074876e-58,-1.94166380674762e-59,-3.01565659976662e-60,-4.67662573510534e-61,-7.24169966109257e-62,-1.11974567167624e-62,-1.72895085428247e-63,-2.66589621836645e-64,-4.10500526428666e-65,-6.31257070434009e-66,-9.69466139184701e-67,-1.48697725105151e-67,-5.82083954569983e-68
"4",0,0,0,0.999999999331071,-6.37921840862638e-05,-0.00452202167691334,-0.0378272452563661,-0.111423523075065,-0.176428831953248,-0.185020172566196,-0.144665218351453,-0.090787438118941,-0.0480283028787969,-0.0221645171464942,-0.00914781368646055,-0.00344011879461723,-0.0011957833939055,-0.000388547146069298,-0.000119084921880122,-3.46790556840782e-05,-9.6536080103971e-06,-2.58167878157023e-06,-6.66099117460384e-07,-1.66401882545329e-07,-4.03734731569919e-08,-9.53906868366204e-09,-2.19983830621628e-09,-4.96167087518912e-10,-1.09645214747879e-10,-2.37771030846584e-11,-5.06690536819278e-12,-1.06238819057325e-12,-2.19414925350208e-13,-4.46816170669059e-14,-8.97979331472515e-15,-1.78252841196077e-15,-3.49755548513217e-16,-6.78808777210112e-17,-1.30393573616394e-17,-2.48050118731754e-18,-4.67547404920286e-19,-8.73625356291448e-20,-1.61894612864534e-20,-2.97664334311712e-21,-5.43218989390155e-22,-9.84308940604941e-23,-1.77149560422344e-23,-3.16763330808346e-24,-5.62912600937272e-25,-9.94432258861909e-26,-1.74681556979762e-26,-3.05182152271815e-27,-5.30405188188004e-28,-9.17241080406909e-29,-1.57859801627413e-29,-2.70428359071293e-30,-4.61212739415999e-31,-7.83231752647925e-32,-1.32460640461542e-32,-2.23128481448114e-33,-3.74416874653242e-34,-6.25958549969818e-35,-1.04274972588294e-35,-1.7310547265062e-36,-2.86409240248647e-37,-4.72341046822892e-38,-7.76535783319176e-39,-1.27276133616736e-39,-2.07994962426919e-40,-3.38936063478507e-41,-5.50780949733002e-42,-8.92630277778421e-43,-1.44287849391214e-43,-2.32640738263164e-44,-3.74171480947721e-45,-6.00363472262899e-46,-9.61047895790561e-47,-1.53493635177899e-47,-2.44611324002733e-48,-3.88981399397119e-49,-6.17264724027668e-50,-9.7752473448627e-51,-1.54497040618396e-51,-2.43708280459573e-52,-3.83706286635574e-53,-6.03012187787146e-54,-9.45956409144037e-55,-1.48133280264936e-55,-2.31573363453606e-56,-3.61406828355335e-57,-5.63109211594978e-58,-8.7597882456357e-59,-1.36055125535418e-59,-2.10994742892872e-60,-3.26722012914067e-61,-5.05183691216574e-62,-7.80006256441545e-63,-1.20264632077327e-63,-1.85174706105769e-64,-2.84735565182991e-65,-4.37250303381704e-66,-6.7059226472565e-67,-2.62492140729906e-67
"5",0,0,0,0,0.999999999057492,-7.74984382178951e-05,-0.0051277103547895,-0.0409900192284025,-0.116714051140669,-0.179869039162462,-0.184423595973499,-0.141441140987432,-0.0872775936075701,-0.0454837607126984,-0.0207086820379375,-0.00844268342895282,-0.00313942730264754,-0.00107998955180755,-0.000347554750408103,-0.000105566988875744,-3.04842066793128e-05,-8.41878099846244e-06,-2.23462851756961e-06,-5.7247567907232e-07,-1.42051486467466e-07,-3.42446421105139e-08,-8.0415242986238e-09,-1.84363487139391e-09,-4.13494812845695e-10,-9.08840063526488e-11,-1.96066130819596e-11,-4.15734239793546e-12,-8.67487325735119e-13,-1.78330309530898e-13,-3.61521681680611e-14,-7.23404664284636e-15,-1.42994722832458e-15,-2.79429500144595e-16,-5.40171195837535e-17,-1.03363152632633e-17,-1.95893985553022e-18,-3.67894605970972e-19,-6.8498457659035e-20,-1.26498478161132e-20,-2.31800632040041e-21,-4.21631846727402e-22,-7.61543257760448e-23,-1.36628205118113e-23,-2.43558504262501e-24,-4.31526112751372e-25,-7.60094063793938e-26,-1.33135025205211e-26,-2.31944198582088e-27,-4.02009370645442e-28,-6.9332979071227e-29,-1.19008738210661e-29,-2.03344562408499e-30,-3.45920199556742e-31,-5.85975810629385e-32,-9.88577588367945e-33,-1.661240286301e-33,-2.78102410610055e-34,-4.63857450945162e-35,-7.70949255019072e-36,-1.2769673976022e-36,-2.10812011018046e-37,-3.46911601585789e-38,-5.69107649704313e-39,-9.30816927647321e-40,-1.51798874519354e-40,-2.46857094375465e-41,-4.00342864113167e-42,-6.4753464246031e-43,-1.04465252116718e-43,-1.68108897387331e-44,-2.69867286604883e-45,-4.3219517237396e-46,-6.90570343886973e-47,-1.1009341737206e-47,-1.75132274485238e-48,-2.78001662975784e-49,-4.40381393748945e-50,-6.96199905416185e-51,-1.09846084602775e-51,-1.72982506675871e-52,-2.71898832873151e-53,-4.26599035893363e-54,-6.68126757706408e-55,-1.04458250504185e-55,-1.63038167721983e-56,-2.54047910595119e-57,-3.95219467910812e-58,-6.13865722205475e-59,-9.51998454712845e-60,-1.47415057915929e-60,-2.27931653428659e-61,-3.51915664419021e-62,-5.42571832835606e-63,-8.35359987564668e-64,-1.28440075880806e-64,-1.97219647680891e-65,-3.02436669900123e-66,-1.18377235279007e-66
"6",0,0,0,0,0,0.999999998673939,-9.40139450049499e-05,-0.00580614902613618,-0.0443532426353991,-0.122079642436648,-0.183112131491889,-0.183564094979577,-0.138089679850911,-0.0837825575098683,-0.04301197045884,-0.0193205948172327,-0.00778067986725528,-0.00286089072189481,-0.000974003320516607,-0.000310439218748701,-9.34487162727409e-05,-2.67581681938278e-05,-7.331327352388e-06,-1.93144486660313e-06,-4.91302609764026e-07,-1.21089692832237e-07,-2.90043408041572e-08,-6.76931351841878e-09,-1.54288272050573e-09,-3.44101072713268e-10,-7.52244622322063e-11,-1.61443313989838e-11,-3.40614116451235e-12,-7.07321549500505e-13,-1.44729815272998e-13,-2.92087964541908e-14,-5.81929154740704e-15,-1.14545335120669e-15,-2.22922416568141e-16,-4.29229183699788e-17,-8.18180554793189e-18,-1.54481548002585e-18,-2.89064685018963e-19,-5.36302970592146e-20,-9.86988406644228e-21,-1.80250416869879e-21,-3.26787711830887e-22,-5.88344330211719e-23,-1.05223924271736e-23,-1.87001695023079e-24,-3.30329255953113e-25,-5.80140686948415e-26,-1.01323793909053e-26,-1.76027995960733e-27,-3.04255499357775e-28,-5.23323301564139e-29,-8.95900947637468e-30,-1.52681613772981e-30,-2.59074338777687e-31,-4.37766917876646e-32,-7.36730276573616e-33,-1.23504774412656e-33,-2.0626613952522e-34,-3.43239567248375e-35,-5.69174388099262e-36,-9.4063832199871e-37,-1.54944985103456e-37,-2.54422670991971e-38,-4.16486780113931e-39,-6.79759708382485e-40,-1.10626235494888e-40,-1.79534241831552e-41,-2.9057558484657e-42,-4.69059837693905e-43,-7.55244898863974e-44,-1.21302423971411e-44,-1.94358549601045e-45,-3.10684373246944e-46,-4.95501145824464e-47,-7.88508140509941e-48,-1.25207304237891e-48,-1.98399147044637e-49,-3.13733079517878e-50,-4.95124038578644e-51,-7.79871133085748e-52,-1.22604930170468e-52,-1.92393156295275e-53,-3.01361311152189e-54,-4.71216461399988e-55,-7.35540690699492e-56,-1.14620900420742e-56,-1.78323569377277e-57,-2.76986035283372e-58,-4.29563138047222e-59,-6.65168121002717e-60,-1.0284564533534e-60,-1.58783266925817e-61,-2.44794537612199e-62,-3.76868855889655e-63,-5.79406361643741e-64,-8.89596960438293e-65,-1.36405690444973e-65,-5.33877621603402e-66
"7",0,0,0,0,0,0,0.999999998137016,-0.000113882945609482,-0.00656477673080681,-0.0479225279145795,-0.127505947244159,-0.186142228830699,-0.182442526382871,-0.134621300858211,-0.0803103560990947,-0.0406152751852748,-0.0179992999376485,-0.00716014268801781,-0.00260326989529616,-0.000877138975813488,-0.000276883466301808,-8.26010625133911e-05,-2.34533535026836e-05,-6.37504272465662e-06,-1.66696462238829e-06,-4.21025295845538e-07,-1.03070803310157e-07,-2.45301642216996e-08,-5.6900746937546e-09,-1.2893119408725e-09,-2.85936156808219e-10,-6.21724252042024e-11,-1.32740863254334e-11,-2.78661249404342e-12,-5.75887602686811e-13,-1.17289177473168e-13,-2.35645995834888e-14,-4.6744015332978e-15,-9.1622448272551e-16,-1.77583380604927e-16,-3.40576086804974e-17,-6.46695216769734e-18,-1.21646386179667e-18,-2.26795139384374e-19,-4.19282465714855e-20,-7.68963791500197e-21,-1.39960352709411e-21,-2.52909484706781e-22,-4.53874366892174e-23,-8.09199702657241e-24,-1.43368874654083e-24,-2.52495757637359e-25,-4.42146709625878e-26,-7.70012276715444e-27,-1.33397307371341e-27,-2.29936430731881e-28,-3.94427668588277e-29,-6.73454454382924e-30,-1.14474303054709e-30,-1.93749219851992e-31,-3.26567737565696e-32,-5.48243338974555e-33,-9.16858102802972e-34,-1.52763013134693e-34,-2.53616347038642e-35,-4.19596632431291e-36,-6.91882929039023e-37,-1.13717364620781e-37,-1.86320173428365e-38,-3.04351261986463e-39,-4.95693990326572e-40,-8.05035078946303e-41,-1.30381525975336e-41,-2.1059751280851e-42,-3.39281811822675e-43,-5.45218813031697e-44,-8.74007878785999e-45,-1.39773276237683e-45,-2.23010851758349e-46,-3.5501646131435e-47,-5.63920780157799e-48,-8.93840915769262e-49,-1.4138368474223e-49,-2.23181787565935e-50,-3.51609947025481e-51,-5.52876585191184e-52,-8.67722324425822e-53,-1.35937407798229e-53,-2.12579906783329e-54,-3.31855584665973e-55,-5.17175266704257e-56,-8.04647069845567e-57,-1.24988184004452e-57,-1.93840493676549e-58,-3.00156475907555e-59,-4.64080904530288e-60,-7.16468426115274e-61,-1.10451575209457e-61,-1.70032498018979e-62,-2.61390827081967e-63,-4.01291478591102e-64,-6.15252115543114e-65,-2.40789373099462e-65
"8",0,0,0,0,0,0,0,0.999999997386546,-0.000137747995916969,-0.00741159917480098,-0.0517028215442696,-0.132977394042432,-0.18894390372788,-0.181060868844138,-0.131046831673829,-0.0768687240633855,-0.0382956675048943,-0.0167436800943263,-0.00657939544381337,-0.00236536031131789,-0.000788744899342042,-0.000246591241496607,-7.29051336151452e-05,-2.05264432229441e-05,-5.53533322218891e-06,-1.43658270208639e-06,-3.60269494986149e-07,-8.76040786924362e-08,-2.071562755772e-08,-4.77585891333387e-09,-1.07582907449515e-09,-2.3725332480427e-10,-5.13093730217149e-11,-1.08980650013181e-11,-2.27641112545881e-12,-4.68186354324788e-13,-9.49113292910561e-14,-1.89830787409158e-14,-3.74923012580951e-15,-7.31790151337545e-16,-1.41257357829472e-16,-2.69835597420708e-17,-5.10399601050393e-18,-9.56493433777605e-19,-1.77677580028464e-19,-3.27313095448076e-20,-5.98218599874605e-21,-1.08516046048477e-21,-1.95445060286431e-22,-3.49622941309896e-23,-6.21379779909393e-24,-1.09755019701726e-24,-1.92717571601198e-25,-3.36480307654669e-26,-5.84310967914763e-27,-1.00942153244807e-27,-1.73515116781302e-28,-2.96841662255465e-29,-5.05494746077987e-30,-8.57017040119536e-31,-1.44682401570623e-31,-2.43256133067136e-32,-4.07378769583555e-33,-6.79642753312116e-34,-1.12971442421679e-34,-1.87118756414666e-35,-3.08872199782927e-36,-5.08162654382558e-37,-8.33366868860764e-38,-1.36246117181774e-38,-2.22079860202359e-39,-3.60937553956786e-40,-5.84967392682342e-41,-9.45464027711e-42,-1.52407920487971e-42,-2.45049088167268e-43,-3.93019453803607e-44,-6.28812835826549e-45,-1.00370207726611e-45,-1.59842684801437e-46,-2.53987592149572e-47,-4.02707945041353e-48,-6.3716363134496e-49,-1.00604862969222e-49,-1.58532158737998e-50,-2.49326520265078e-51,-3.91375587331485e-52,-6.13216440720837e-53,-9.59066079664054e-54,-1.49732856658369e-54,-2.33366219121423e-55,-3.63102277843737e-56,-5.64036533619419e-57,-8.74760874576094e-58,-1.35453840468423e-58,-2.09425042190392e-59,-3.23307778417772e-60,-4.98388930095078e-61,-7.67183541304878e-62,-1.17929465545983e-62,-1.81030028212157e-63,-2.77521604924374e-64,-1.08606405910154e-64
"9",0,0,0,0,0,0,0,0,0.999999996339219,-0.000166366167087755,-0.0083552031326854,-0.0556982941015611,-0.13847721427497,-0.19150229492195,-0.179422228804793,-0.127377403741597,-0.0734650735428914,-0.0360547934689476,-0.0155524690629161,-0.00603675328442213,-0.00214599417802107,-0.000708203131530895,-0.000219286247411938,-6.42515651401215e-05,-1.79380644341702e-05,-4.79907531046613e-06,-1.23619791628155e-06,-3.07822184921213e-07,-7.43474567708728e-08,-1.74682282327502e-08,-4.00256261198716e-09,-8.9635836088973e-10,-1.96566119187795e-10,-4.22813389278555e-11,-8.93402729152596e-12,-1.85685479542798e-12,-3.80060642813452e-13,-7.66886858992339e-14,-1.52695542221532e-14,-3.00269558152968e-15,-5.83612187674553e-16,-1.12194860443219e-16,-2.13470298931447e-17,-4.02229693843958e-18,-7.50961891944746e-19,-1.38990348217213e-19,-2.55136848405647e-20,-4.6469399272209e-21,-8.40109737897166e-22,-1.50812522782138e-22,-2.68916414904851e-23,-4.76443760701642e-24,-8.38971160717701e-25,-1.46872899342454e-25,-2.55685460157805e-26,-4.42734690019136e-27,-7.6269551140183e-28,-1.30743459647262e-28,-2.23067069516094e-29,-3.78859504539157e-30,-6.40654720881949e-31,-1.07880904770659e-31,-1.80928692407122e-32,-3.02257123593811e-33,-5.03051418997056e-34,-8.34203977946335e-35,-1.37851192299964e-35,-2.27027660036404e-36,-3.7267134367313e-37,-6.09815978608232e-38,-9.94813141299381e-39,-1.61806650771223e-39,-2.62424037285984e-40,-4.24425663503041e-41,-6.84584535779149e-42,-1.10132364062885e-42,-1.76725300030177e-43,-2.82885304599154e-44,-4.51731705834212e-45,-7.19678660752387e-46,-1.14396479481234e-46,-1.81438578903641e-47,-2.87154364828534e-48,-4.53518336950853e-49,-7.14811903929057e-50,-1.12442144489985e-50,-1.76534228346035e-51,-2.76638353945502e-52,-4.32712990909157e-53,-6.75633543048123e-54,-1.05308913716857e-54,-1.63862650042066e-55,-2.54550130666344e-56,-3.9478637916049e-57,-6.11311923624607e-58,-9.45129379054155e-59,-1.45902465275333e-59,-2.24901179156392e-60,-3.46172722218792e-61,-5.32083467453565e-62,-8.16706195298804e-63,-1.25188380122078e-63,-4.89887729323056e-64
"10",0,0,0,0,0,0,0,0,0,0.999999994879898,-0.000200627583873946,-0.00940476637693694,-0.0599122257399352,-0.143987479313078,-0.193803221461101,-0.17753083857523,-0.1236243923644,-0.0701064656524129,-0.0338939582827105,-0.0144242647338425,-0.00553053028029307,-0.00194404217930788,-0.000634928807352808,-0.000194711254216572,-5.65399242825918e-05,-1.56524875548415e-05,-4.1544857189113e-06,-1.06216330045444e-06,-2.62614228319084e-07,-6.30019247380657e-08,-1.47077260153488e-08,-3.34942833626039e-09,-7.45703155122745e-10,-1.62611377865934e-10,-3.47893781311149e-11,-7.31292409725307e-12,-1.51234577640217e-12,-3.0805832912578e-13,-6.18714716395331e-14,-1.2263995370074e-14,-2.40118942420196e-15,-4.6473786155008e-16,-8.8977614238416e-17,-1.68624853044546e-17,-3.16507379810283e-18,-5.88707698506679e-19,-1.08563182372658e-19,-1.98576980157775e-20,-3.60429321667502e-21,-6.49417498361433e-22,-1.16197295872077e-22,-2.06528796118137e-23,-3.64764093732106e-24,-6.40347300214657e-25,-1.11765542839006e-25,-1.93998477596111e-26,-3.3495693637808e-27,-5.7540777577915e-28,-9.83667989464933e-29,-1.6737553529567e-29,-2.83521265029577e-30,-4.7819443142809e-31,-8.03191976352685e-32,-1.34368355016161e-32,-2.23923981817673e-33,-3.7178338415274e-34,-6.15066040597077e-35,-1.01402728527756e-35,-1.6661904264209e-36,-2.72894739253317e-37,-4.45561111584666e-38,-7.2527849895956e-39,-1.17714367050723e-39,-1.90511442129419e-40,-3.07480461570518e-41,-4.94942866653892e-42,-7.94636109373183e-43,-1.2725951815853e-43,-2.03307142671967e-44,-3.24030326934039e-45,-5.15250400792829e-46,-8.17482497820104e-47,-1.29417402958889e-47,-2.04449737041943e-48,-3.22318055385493e-49,-5.07119708151136e-50,-7.96318446802508e-51,-1.24805947402427e-51,-1.95243669463304e-52,-3.04882142433319e-53,-4.75247438226032e-54,-7.39535567055539e-55,-1.14886200911045e-55,-1.78181899877721e-56,-2.75907175831832e-57,-4.26562127220832e-58,-6.58471698900486e-59,-1.01494511752986e-59,-1.56211578749272e-60,-2.40083995002878e-61,-3.68473418019531e-62,-5.64748751928345e-63,-2.20984165914256e-63
